"AnimalID","sdAll","sdNoMix","baseAll","baseNoMix"
"BROOT130010","mixmig","migrant","mixmig","migrant"
"BROOT130013","mixmig","migrant","mixmig","migrant"
"BROOT130015","mixmig","migrant","mixmig","migrant"
"BROOT130017","migrant","migrant","migrant","migrant"
"BROOT130018","mixmig","migrant","mixmig","migrant"
"BROOT130027","migrant","migrant","migrant","migrant"
"BROOT130028","migrant","migrant","migrant","migrant"
"BROOT130032","mixmig","migrant","mixmig","migrant"
"BROOT130033","mixmig","migrant","mixmig","migrant"
"BROOT130034","mixmig","migrant","mixmig","migrant"
"BROOT130035","mixmig","migrant","mixmig","migrant"
"BROOT130037","mixmig","migrant","mixmig","migrant"
"BROOT130039","mixmig","disperser","mixmig","disperser"
"BROOT130070","mixmig","migrant","mixmig","migrant"
"BRUC15031","mixmig","resident","mixmig","resident"
"BRUC15051","disperser","disperser","disperser","disperser"
"BRUC15053","mixmig","resident","mixmig","resident"
"BRUC15054","mixmig","disperser","mixmig","disperser"
"BRUC15059","mixmig","disperser","mixmig","disperser"
"BRUC15060","mixmig","migrant","mixmig","migrant"
"BRUC15062","mixmig","migrant","mixmig","migrant"
"BRUC15064","mixmig","disperser","mixmig","disperser"
"BRUC15065","mixmig","migrant","mixmig","migrant"
"BRUC15066","mixmig","migrant","mixmig","migrant"
"BRUC15074","migrant","migrant","migrant","migrant"
"BRUC15085","mixmig","migrant","mixmig","migrant"
"BRUC15090","migrant","migrant","migrant","migrant"
"BRUC15097","migrant","migrant","migrant","migrant"
"BRUC15098","mixmig","disperser","mixmig","disperser"
"BRUC15099","mixmig","migrant","mixmig","migrant"
"BT10001","migrant","migrant","migrant","migrant"
"BT10020","mixmig","migrant","mixmig","migrant"
"BT10023","mixmig","migrant","mixmig","migrant"
"BT10028","mixmig","migrant","mixmig","migrant"
"BT10029","migrant","migrant","migrant","migrant"
"BT10035","mixmig","migrant","mixmig","migrant"
"BT10043","mixmig","migrant","mixmig","migrant"
"BT10045","mixmig","migrant","mixmig","migrant"
"BT10047","mixmig","migrant","mixmig","migrant"
"BT10048","migrant","migrant","migrant","migrant"
"BT10058","mixmig","migrant","mixmig","migrant"
"BT10063","mixmig","migrant","mixmig","migrant"
"BT10065","mixmig","migrant","mixmig","migrant"
"BT10066","mixmig","migrant","mixmig","migrant"
"BT10068","mixmig","migrant","mixmig","migrant"
"BT10075","mixmig","migrant","mixmig","migrant"
"BT10078","mixmig","migrant","mixmig","migrant"
"BT10083","migrant","migrant","migrant","migrant"
"BT10084","mixmig","disperser","mixmig","disperser"
"BT10087","mixmig","disperser","mixmig","disperser"
"BT10091","mixmig","migrant","mixmig","migrant"
"BT10096","mixmig","migrant","mixmig","migrant"
"BT10098","mixmig","migrant","mixmig","migrant"
"EC14002","mixmig","migrant","mixmig","migrant"
"EC14003","mixmig","migrant","mixmig","migrant"
"EC14006","mixmig","migrant","mixmig","migrant"
"EC14007","resident","resident","resident","resident"
"EC14011","mixmig","resident","mixmig","resident"
"EC14014","migrant","migrant","migrant","migrant"
"EC14015","mixmig","migrant","mixmig","migrant"
"EC14016","mixmig","migrant","mixmig","migrant"
"EC14018","mixmig","disperser","mixmig","disperser"
"EC14020","resident","resident","resident","resident"
"EC14022","mixmig","migrant","mixmig","migrant"
"EC14023","mixmig","migrant","mixmig","migrant"
"EC14024","mixmig","disperser","mixmig","disperser"
"EC14025","mixmig","migrant","mixmig","migrant"
"EC14028","mixmig","migrant","mixmig","migrant"
"EC14029","mixmig","migrant","mixmig","migrant"
"NA14003","mixmig","disperser","mixmig","disperser"
"NA14004","nomad","nomad","nomad","nomad"
"NA14006","mixmig","migrant","mixmig","migrant"
"NA14009","mixmig","disperser","mixmig","disperser"
"NA14011","mixmig","migrant","mixmig","migrant"
"NA14015","nomad","nomad","nomad","nomad"
"NA14017","mixmig","disperser","mixmig","disperser"
"NA14020","mixmig","disperser","mixmig","disperser"
